prob_bucket	pct_deactivated
0.27	0.267813680235
0.28	0.274288986448
0.29	0.309241594996
0.32	0.317772453111
0.34	0.334736107628
0.37	0.365467625899
0.39	0.394036904822
0.41	0.384511293848
0.42	0.422726694204
0.44	0.437360546003
0.45	0.462269007052
0.47	0.465583895149
0.48	0.479464625439
0.5	0.50503951555
0.54	0.535858771607
0.56	0.558639562158
0.57	0.563576014425
0.58	0.583228963047
0.6	0.605019069757
0.61	0.615880944947
0.62	0.632291729505
0.63	0.618255806865
0.64	0.639601218499
0.65	0.656786427146
0.66	0.657072085503
0.68	0.672772128287
0.7	0.69374232428
0.72	0.718747994266
0.73	0.714670784047
0.74	0.736862370406
0.75	0.758677654921
0.76	0.766214443039
0.79	0.789965696631
0.8	0.80402196105
0.81	0.797989228007
0.82	0.824381460487
0.84	0.846202175854
0.85	0.862176955197
0.87	0.877240999987
0.88	0.894607251485
0.89	0.896834324281
0.9	0.908014488783
0.91	0.917962835513
0.92	0.936133229981
0.94	0.956205107741
0.95	0.982089725709
