days_until_deact	count_users	deacts_actual	deacts_pred	avg_log_loss	avg_prob_deact	accuracy	pct_deact_actual	pct_deact_pred	pred_over_actual_deacts	diff_pct_deact
	28	28	26	0.0535527007449	0.947855986971	1.0	1.0	0.928571428571	0.928571428571	-0.0714285714286
-81.0	1	1	0	0.0535527007449	0.947855986971	1.0	1.0	0.0	0.0	-1.0
-8.0	1	1	0	0.0535527007449	0.947855986971	1.0	1.0	0.0	0.0	-1.0
0.0	6276	6276	5948	0.0535527007449	0.947855986971	1.0	1.0	0.947737412365	0.947737412365	-0.0522625876354
1.0	6349	6340	6017	0.0576638582274	0.947855986971	0.99858245393	0.99858245393	0.94770830052	0.94905362776	-0.05087415341
2.0	5529	5499	5235	0.0701206395544	0.946977379992	0.994574064026	0.994574064026	0.946825827455	0.95199127114	-0.0477482365708
3.0	5693	5659	5386	0.0724836669744	0.946137377848	0.994027753381	0.994027753381	0.94607412612	0.951758261177	-0.0479536272615
4.0	5492	5433	5196	0.0861561222902	0.946137377848	0.989257101238	0.989257101238	0.946103423161	0.956377691883	-0.0431536780772
5.0	4927	4882	4661	0.0815432254077	0.946137377848	0.990866653136	0.990866653136	0.946011771869	0.954731667349	-0.0448548812665
6.0	4638	4582	4388	0.0899714801522	0.946137377848	0.987925830099	0.987925830099	0.9460974558	0.957660410301	-0.0418283742993
7.0	5010	4920	4740	0.106851650595	0.946137377848	0.982035928144	0.982035928144	0.946107784431	0.963414634146	-0.0359281437126
8.0	5719	5629	5410	0.100469020374	0.946137377848	0.984262983039	0.984262983039	0.945969575101	0.961094332919	-0.0382934079385
9.0	5346	5234	5053	0.115971055325	0.945273205675	0.979049756828	0.979049756828	0.945192667415	0.965418418036	-0.0338570894126
10.0	5449	5333	5150	0.116934247852	0.945273205675	0.978711690218	0.978711690218	0.945127546339	0.965685355335	-0.0335841438796
11.0	5259	5143	4971	0.119125550878	0.945273205675	0.977942574634	0.977942574634	0.945236737022	0.966556484542	-0.0327058376117
12.0	5607	5450	5300	0.136058695	0.945273205675	0.971999286606	0.971999286606	0.945247012663	0.97247706422	-0.0267522739433
13.0	5443	5242	5145	0.161494079835	0.945273205675	0.963071835385	0.963071835385	0.945250780819	0.981495612362	-0.0178210545655
14.0	9273	8847	8765	0.187169387582	0.945273205675	0.954060174701	0.954060174701	0.94521729753	0.990731321352	-0.00884287717028
15.0	10024	9585	9433	0.182072246437	0.941094122727	0.956205107741	0.956205107741	0.941041500399	0.984141888367	-0.0151636073424
16.0	7956	7570	7327	0.201455805425	0.920993780091	0.951483157366	0.951483157366	0.92094017094	0.967899603699	-0.0305429864253
17.0	10138	9501	9306	0.237334120949	0.917981463236	0.937167094101	0.937167094101	0.917932531071	0.979475844648	-0.0192345630302
18.0	13235	12441	12137	0.230731808033	0.917112215652	0.940007555723	0.940007555723	0.917038156403	0.97556466522	-0.02296939932
19.0	7273	6841	6670	0.229302370625	0.917112215652	0.940602227416	0.940602227416	0.917090609102	0.975003654436	-0.0235116183143
20.0	6272	5893	5747	0.232007718469	0.916341527922	0.939572704082	0.939572704082	0.916294642857	0.975224843034	-0.0232780612245
21.0	6952	6530	6370	0.232665158245	0.916341527922	0.939298043728	0.939298043728	0.916283084005	0.97549770291	-0.0230149597238
22.0	7244	6796	6637	0.235399489161	0.916341527922	0.938155715075	0.938155715075	0.916206515737	0.976603884638	-0.0219491993374
23.0	6448	6005	5908	0.251817962539	0.916341527922	0.931296526055	0.931296526055	0.916253101737	0.983846794338	-0.0150434243176
24.0	6156	5695	5640	0.266617437694	0.916341527922	0.925113710201	0.925113710201	0.916179337232	0.990342405619	-0.00893437296946
25.0	6558	6060	6001	0.2692693785	0.915092524226	0.92406221409	0.92406221409	0.915065568771	0.990264026403	-0.00899664531869
26.0	6914	6376	6326	0.273727946349	0.915092524226	0.922186867226	0.922186867226	0.914955163437	0.992158092848	-0.00723170378941
27.0	7265	6669	6632	0.283874573788	0.91300109465	0.917962835513	0.917962835513	0.912869924295	0.99445194182	-0.00509291121817
28.0	7379	6789	6624	0.281582167534	0.897688031193	0.92004336631	0.92004336631	0.89768261282	0.975695978789	-0.0223607534896
29.0	7638	7029	6847	0.281396657613	0.896491585903	0.920267085625	0.920267085625	0.89643885834	0.974107269882	-0.0238282272846
30.0	7418	6725	6650	0.310947869147	0.896491585903	0.906578592613	0.906578592613	0.896468050688	0.988847583643	-0.010110541925
31.0	7220	6546	6468	0.310866092531	0.895882433393	0.906648199446	0.906648199446	0.895844875346	0.988084326306	-0.0108033240997
32.0	7164	6519	6413	0.303812712251	0.895306267637	0.909966499162	0.909966499162	0.895170295924	0.983739837398	-0.0147962032384
33.0	6781	6088	6071	0.329917799653	0.895306267637	0.89780268397	0.89780268397	0.895295679103	0.997207621551	-0.00250700486654
34.0	6849	6196	6131	0.315206251404	0.895306267637	0.90465761425	0.90465761425	0.89516717769	0.989509360878	-0.00949043656008
35.0	7775	7016	6961	0.320095542073	0.895306267637	0.902379421222	0.902379421222	0.895305466238	0.992160775371	-0.00707395498392
36.0	7482	6754	6698	0.319407941002	0.895306267637	0.902699812884	0.902699812884	0.895215183106	0.991708617116	-0.00748462977813
37.0	6680	6005	5977	0.327467466056	0.894904734354	0.898952095808	0.898952095808	0.894760479042	0.995337218984	-0.00419161676647
38.0	7936	7145	7100	0.324530627835	0.894745154424	0.900327620968	0.900327620968	0.894657258065	0.993701889433	-0.00567036290323
39.0	7481	6765	6688	0.316113882785	0.894120444138	0.904290870205	0.904290870205	0.893998128592	0.988617886179	-0.0102927416121
