class	N	precision	recall	f1	predOverActualN
0	1084485	0.605512919233	0.501046118665	0.548348325923	0.827473870086
1	1896471	0.740298036114	0.81333434574	0.775099471262	1.09865798106
weighted	2980956	0.691262613424	0.699722505129	0.692606399961	1.0
