prob_bucket	pct_deactivated
0.05	0.00732524068648
0.06	0.0216427640156
0.07	0.0299979022446
0.08	0.04469874186
0.09	0.0603157708001
0.1	0.0741547918413
0.11	0.0900682669016
0.12	0.104338671247
0.13	0.123557556994
0.14	0.136258926515
0.15	0.146112052346
0.16	0.161475552462
0.17	0.167072808321
0.18	0.178716395082
0.19	0.189972270952
0.2	0.199657057121
0.21	0.212459731892
0.22	0.22706568056
0.23	0.238384902768
0.24	0.252889378096
0.25	0.268181818182
0.26	0.279743661187
0.27	0.290398346486
0.28	0.305661820964
0.29	0.313494979182
0.3	0.323641025641
0.31	0.338567017323
0.32	0.338856057408
0.33	0.352164033187
0.34	0.35940625329
0.35	0.374908252071
0.36	0.371061905012
0.37	0.38179800222
0.38	0.393748710543
0.39	0.395575090128
0.4	0.407810159006
0.41	0.419975707745
0.42	0.425768417263
0.43	0.431606149534
0.44	0.444752098295
0.45	0.459837564315
0.46	0.469399658376
0.47	0.475313221233
0.48	0.480916643256
0.49	0.49263272784
0.5	0.502629950495
0.51	0.506556762833
0.52	0.518951716071
0.53	0.537459986332
0.54	0.548304268749
0.55	0.557242116515
0.56	0.570859277709
0.57	0.575452934582
0.58	0.581092270584
0.59	0.586490939044
0.6	0.602626299471
0.61	0.606869103774
0.62	0.615351179049
0.63	0.616234085953
0.64	0.627655583973
0.65	0.632404915535
0.66	0.635533663801
0.67	0.649591534145
0.68	0.660398667344
0.69	0.668617176902
0.7	0.685264227642
0.71	0.693029257761
0.72	0.705093179822
0.73	0.720178399229
0.74	0.732351730317
0.75	0.746126803249
0.76	0.756608608989
0.77	0.767250873917
0.78	0.773524039944
0.79	0.78378693533
0.8	0.788099151226
0.81	0.796140278066
0.82	0.80423209754
0.83	0.8191369606
0.84	0.832798237331
0.85	0.849814514259
0.86	0.869159125787
0.87	0.884950919673
0.88	0.89805526538
0.89	0.907208148726
0.9	0.920262664165
0.91	0.933986467792
0.92	0.947411248892
0.93	0.962284446536
0.94	0.978042665822
0.95	0.993659832045
0.96	1.0
