days_until_deact	count_users	deacts_actual	deacts_pred	avg_log_loss	avg_prob_deact	accuracy	pct_deact_actual	pct_deact_pred	pred_over_actual_deacts	diff_pct_deact
	28	28	26	0.0480554637937	0.953104368942	1.0	1.0	0.928571428571	0.928571428571	-0.0714285714286
-81.0	1	1	0	0.0849785852862	0.91853195429	1.0	1.0	0.0	0.0	-1.0
-8.0	1	1	0	0.0494580809072	0.951745053589	1.0	1.0	0.0	0.0	-1.0
0.0	6276	6276	5905	0.0609038786578	0.94100464638	1.0	1.0	0.940885914595	0.940885914595	-0.0591140854047
1.0	6349	6340	5980	0.063367483711	0.94203572644	0.99858245393	0.99858245393	0.94188061112	0.943217665615	-0.0567018428099
2.0	5529	5499	5208	0.0737220651482	0.941965331499	0.994574064026	0.994574064026	0.941942485079	0.947081287507	-0.0526315789474
3.0	5693	5659	5358	0.0762355828527	0.941163716381	0.994027753381	0.994027753381	0.941155805375	0.946810390528	-0.0528719480063
4.0	5492	5433	5167	0.0882639392386	0.940907911008	0.989257101238	0.989257101238	0.940823015295	0.951039941101	-0.0484340859432
5.0	4927	4882	4633	0.0855582153268	0.940479188319	0.990866653136	0.990866653136	0.940328800487	0.948996312986	-0.0505378526487
6.0	4638	4582	4362	0.0929162091128	0.940503646395	0.987925830099	0.987925830099	0.940491591203	0.9519860323	-0.0474342388961
7.0	5010	4920	4712	0.107955521925	0.940595061593	0.982035928144	0.982035928144	0.940518962076	0.957723577236	-0.0415169660679
8.0	5719	5629	5379	0.102981873179	0.940644978739	0.984262983039	0.984262983039	0.940549047036	0.955587138035	-0.0437139360028
9.0	5346	5234	5022	0.115851295564	0.939543368964	0.979049756828	0.979049756828	0.939393939394	0.959495605655	-0.0396558174336
10.0	5449	5333	5118	0.117048568013	0.939372020041	0.978711690218	0.978711690218	0.939254909158	0.959684980311	-0.0394567810607
11.0	5259	5143	4940	0.120057870299	0.939484183684	0.977942574634	0.977942574634	0.939342080243	0.960528874198	-0.0386004943906
12.0	5607	5450	5269	0.135370262319	0.939852159718	0.971999286606	0.971999286606	0.939718209381	0.966788990826	-0.0322810772249
13.0	5443	5242	5110	0.158205492531	0.938830663452	0.963071835385	0.963071835385	0.938820503399	0.974818771461	-0.024251331986
14.0	9273	8847	8697	0.182521020571	0.93792669324	0.954060174701	0.954060174701	0.937884179877	0.983045100034	-0.0161759948237
15.0	10024	9585	9364	0.177647971461	0.934232380247	0.956205107741	0.956205107741	0.93415802075	0.976943140323	-0.0220470869912
16.0	7956	7570	7274	0.195090814749	0.914291420667	0.951483157366	0.951483157366	0.914278531926	0.960898282695	-0.0372046254399
17.0	10138	9501	9228	0.229352677463	0.910304362254	0.937167094101	0.937167094101	0.910238705859	0.971266182507	-0.0269283882423
18.0	13235	12441	12042	0.221583873662	0.909920656269	0.940007555723	0.940007555723	0.909860219116	0.967928623101	-0.0301473366075
19.0	7273	6841	6625	0.221395375852	0.911008672735	0.940602227416	0.940602227416	0.910903341125	0.968425668762	-0.0296988862918
20.0	6272	5893	5706	0.222034204431	0.909777991078	0.939572704082	0.939572704082	0.909757653061	0.968267435941	-0.0298150510204
21.0	6952	6530	6329	0.219800390212	0.910392211522	0.939298043728	0.939298043728	0.910385500575	0.96921898928	-0.028912543153
22.0	7244	6796	6600	0.221544953829	0.911217762111	0.938155715075	0.938155715075	0.91109884042	0.971159505592	-0.0270568746549
23.0	6448	6005	5866	0.23826287949	0.909770844222	0.931296526055	0.931296526055	0.909739454094	0.976852622814	-0.0215570719603
24.0	6156	5695	5598	0.251734349615	0.909357944297	0.925113710201	0.925113710201	0.909356725146	0.982967515364	-0.0157569850552
25.0	6558	6060	5957	0.254742071718	0.908465815074	0.92406221409	0.92406221409	0.90835620616	0.98300330033	-0.0157060079292
26.0	6914	6376	6275	0.258441488044	0.907623219048	0.922186867226	0.922186867226	0.907578825571	0.984159347553	-0.0146080416546
27.0	7265	6669	6580	0.268052359373	0.905750378014	0.917962835513	0.917962835513	0.905712319339	0.986654670865	-0.0122505161734
28.0	7379	6789	6556	0.263741310944	0.88859182388	0.92004336631	0.92004336631	0.888467271988	0.965679776108	-0.0315760943217
29.0	7638	7029	6803	0.263180554413	0.890806272229	0.920267085625	0.920267085625	0.890678188007	0.967847488974	-0.0295888976172
30.0	7418	6725	6596	0.287279900168	0.889240383278	0.906578592613	0.906578592613	0.889188460501	0.980817843866	-0.0173901321111
31.0	7220	6546	6418	0.289631702268	0.888992288611	0.906648199446	0.906648199446	0.88891966759	0.980446073938	-0.017728531856
32.0	7164	6519	6371	0.282887869432	0.889317491536	0.909966499162	0.909966499162	0.889307649358	0.977297131462	-0.0206588498046
33.0	6781	6088	6024	0.307985649835	0.888500826577	0.89780268397	0.89780268397	0.888364548002	0.989487516426	-0.00943813596815
34.0	6849	6196	6079	0.293719195455	0.887680768193	0.90465761425	0.90465761425	0.887574828442	0.98111684958	-0.0170827858081
35.0	7775	7016	6913	0.297716062913	0.889214217881	0.902379421222	0.902379421222	0.889131832797	0.985319270239	-0.0132475884244
36.0	7482	6754	6659	0.301591718378	0.890132208793	0.902699812884	0.902699812884	0.890002673082	0.985934261179	-0.0126971398022
37.0	6680	6005	5945	0.307435468006	0.890005317788	0.898952095808	0.898952095808	0.88997005988	0.990008326395	-0.00898203592814
38.0	7936	7145	7044	0.303769747621	0.887650642153	0.900327620968	0.900327620968	0.887600806452	0.985864240728	-0.0127268145161
39.0	7481	6765	6646	0.293464322468	0.888461940973	0.904290870205	0.904290870205	0.888383905895	0.982409460458	-0.0159069643096
40.0	6823	6108	6063	0.311703670594	0.888718811396	0.89520738678	0.89520738678	0.888612047486	0.992632612967	-0.00659533929357
41.0	6725	6038	5964	0.3079344118	0.886923299164	0.897843866171	0.897843866171	0.886840148699	0.987744286187	-0.0110037174721
42.0	6666	5962	5870	0.312430916006	0.880608471292	0.894089408941	0.894389438944	0.880588058806	0.984568936598	-0.013801380138
43.0	7027	6291	6190	0.307213802937	0.880937327376	0.89497651914	0.89526113562	0.880888003415	0.983945318709	-0.0143731322044
44.0	6423	5723	5644	0.320260480042	0.878841948197	0.891016658882	0.891016658882	0.878717110385	0.986196051022	-0.0122995484976
45.0	5046	4475	4444	0.329648142622	0.880873054466	0.887633769322	0.886841062228	0.880697582243	0.993072625698	-0.00614347998415
46.0	4995	4520	4402	0.295289209981	0.881281422769	0.903703703704	0.904904904905	0.881281281281	0.97389380531	-0.0236236236236
47.0	6158	5563	5428	0.294601101659	0.881481280736	0.903215329652	0.903377720039	0.881455017863	0.975732518425	-0.021922702176
48.0	6410	5750	5649	0.310087507041	0.881410275901	0.896723868955	0.897035881435	0.88127925117	0.982434782609	-0.0157566302652
