class	N	precision	recall	f1	predOverActualN
0	1084485	0.706496959634	0.580671009742	0.637433983273	0.821901639949
1	1896471	0.782373412148	0.862053783053	0.820283149866	1.10184442578
weighted	2980956	0.754769222551	0.759685483449	0.753761812942	1.0
