days_until_deact	count_users	deacts_actual	deacts_pred	avg_log_loss	avg_prob_deact	accuracy	pct_deact_actual	pct_deact_pred	pred_over_actual_deacts	diff_pct_deact
0	6073	6073	6073	0.0	1.0	1.0	1.0	1.0	1.0	0.0
1	5823	5803	5823	0.0	1.0	0.9965653443242315	0.9965653443242315	1.0	1.003446493193176	0.0034346556757685054
2	5993	5957	5993	0.0	1.0	0.9939929918237944	0.9939929918237944	1.0	1.0060433103911364	0.006007008176205586
3	6578	6521	6578	0.0	1.0	0.9913347522043174	0.9913347522043174	1.0	1.0087409906456064	0.008665247795682562
4	6708	6607	6565	0.07689353646078127	0.9787709658710849	0.9849433512224209	0.9849433512224209	0.9786821705426356	0.9936431057968821	-0.0062611806797853164
5	6903	6793	6761	0.07875523505199908	0.9794475729868075	0.9840648993191367	0.9840648993191367	0.9794292336665218	0.9952892683644928	-0.004635665652614862
6	7087	6967	6947	0.08076056052103474	0.9802979707330303	0.9830675885424016	0.9830675885424016	0.9802455199661352	0.9971293239557916	-0.0028220685762664344
7	6946	6803	6797	0.09220035786268405	0.9786290893547129	0.9794126115750073	0.9794126115750073	0.9785488050676648	0.9991180361605174	-0.0008638065073424128
8	6756	6582	6604	0.11271406381741544	0.9776122079681263	0.9742451154529307	0.9742451154529307	0.9775014801657785	1.003342449103616	0.003256364712847848
9	6530	6327	6392	0.131550698544685	0.9789264411887243	0.9689127105666157	0.9689127105666157	0.9788667687595712	1.0102734313260628	0.009954058192955584
10	6453	6241	6310	0.1404896339461704	0.9778749498437334	0.967147063381373	0.967147063381373	0.9778397644506431	1.0110559205255567	0.010692701069270116
11	6557	6326	6411	0.14753827782669018	0.9778151829527935	0.9647704743022724	0.9647704743022724	0.9777337196888821	1.0134366108125197	0.012963245386609756
12	7183	6966	7024	0.12675628596038616	0.9778977635138734	0.9697897814283726	0.9697897814283726	0.9778644020604205	1.0083261556129772	0.00807462063204789
13	6890	6662	6722	0.14029058836409322	0.9757589731721635	0.9669085631349782	0.9669085631349782	0.9756168359941945	1.0090063044130893	0.00870827285921627
14	6338	6105	6064	0.14966320329549754	0.9568846036170982	0.9632376143893973	0.9632376143893973	0.9567686967497633	0.9932841932841933	-0.006468917639633975
15	7393	7088	7043	0.164674155198979	0.9527079797784669	0.9587447585553902	0.9587447585553902	0.9526579196537265	0.9936512415349887	-0.006086838901663727
16	6893	6600	6564	0.16526524383467608	0.952327926028199	0.9574931089511098	0.9574931089511098	0.9522704192659219	0.9945454545454545	-0.005222689685187909
17	6404	6131	6104	0.16290286380569252	0.9531555643124585	0.95737039350406	0.95737039350406	0.9531542785758901	0.995596150709509	-0.004216114928169867
18	6220	5896	5917	0.1934563496413351	0.9514385894688783	0.9479099678456592	0.9479099678456592	0.9512861736334405	1.003561736770692	0.0033762057877813056
19	6064	5772	5773	0.17962570802956862	0.952071238862058	0.9518469656992085	0.9518469656992085	0.9520118733509235	1.00017325017325	0.00016490765171506272
20	6514	6196	6188	0.18236806980835987	0.9499542311520002	0.9511820693890083	0.9511820693890083	0.9499539453484802	0.9987088444157521	-0.001228124040528078
21	6109	5724	5800	0.2228548287462329	0.9495564851748517	0.9369782288426911	0.9369782288426911	0.9494188901620559	1.013277428371768	0.012440661319364832
22	4695	4447	4461	0.197507562969426	0.9501810327690488	0.9471778487752929	0.9471778487752929	0.9501597444089457	1.0031481897908703	0.002981895633652809
23	4737	4522	4512	0.1720398002759584	0.9526073519871455	0.9546126240236437	0.9546126240236437	0.9525015832805573	0.9977885891198585	-0.002111040743086323
24	5923	5632	5635	0.18239613317288397	0.9515277883177727	0.950869491811582	0.950869491811582	0.9513759918959986	1.0005326704545454	0.0005065000844166612
25	6080	5754	5787	0.19923721611043135	0.9518340751002039	0.9463815789473684	0.9463815789473684	0.9518092105263158	1.005735140771637	0.005427631578947434
26	5902	5600	5616	0.19134945739228135	0.9516677946222757	0.9488309047780413	0.9488309047780413	0.9515418502202643	1.002857142857143	0.002710945442222945
