prob_bucket	pct_deactivated
0.0	0.0
0.01	0.009558058105422542
0.02	0.025087692542321183
0.03	0.029239766081871343
0.04	0.04381134785731386
0.05	0.04998075195688438
0.06	0.06287163343826513
0.07	0.07349223546406645
0.08	0.08065246941549614
0.09	0.07827298050139275
0.1	0.09348365881484465
0.11	0.11120625066895001
0.12	0.11970162351908732
0.13	0.0
0.14	0.12892198754730802
0.15	0.14846172778734926
0.16	0.15753762644954356
0.17	0.1706929740134745
0.18	0.18059138717999604
0.19	0.2009412048628918
0.2	0.19845360824742267
0.21	0.21275650706227237
0.22	0.2223532035556122
0.23	0.22775528072671555
0.24	0.2361852642819007
0.25	0.24696456086286595
0.26	0.25664867420511406
0.27	0.27318466140875713
0.28	0.28182440359796634
0.29	0.28419897585954645
0.3	0.3013555787278415
0.31	0.318342151675485
0.32	0.3191631713028486
0.33	0.33429415579736255
0.34	0.34561049445005043
0.35	0.35239194649101957
0.36	0.36334378610331736
0.37	0.36257976298997263
0.38	0.3777796656967483
0.39	0.39279365513469167
0.4	0.40603307572807895
0.41	0.3685800604229607
0.42	0.41089059539244044
0.43	0.4266233766233766
0.44	0.4382282455995372
0.45	0.45155287208965716
0.46	0.46325167037861914
0.47	0.4807115414978159
0.48	0.477240809582817
0.49	0.4973770321508336
0.5	0.49613490828379725
0.51	0.5123757284881728
0.52	0.5238688575656102
0.53	0.5310448867245395
0.54	0.5413571074789499
0.55	0.5444165786694826
0.56	0.558784099766173
0.57	0.5706367012952733
0.58	0.5839519650655022
0.59	0.5862626192420636
0.6	0.6069770413596286
0.61	0.6161763277988154
0.62	0.6231273987866782
0.63	0.6326673984632272
0.64	0.6393693890956864
0.65	0.6492808173141551
0.66	0.6593324738576135
0.67	0.6694519756433619
0.68	0.6802445155393053
0.69	0.6903455720348382
0.7	0.7011506203645942
0.71	0.7115418725452933
0.72	0.7188632073064952
0.73	0.7322845287813053
0.74	0.7454792990295329
0.75	0.7454537940155398
0.76	0.7623345467966247
0.77	0.7760448065965267
0.78	0.7815522243713733
0.8	0.7999835338673065
0.81	0.8112803726551681
0.82	0.8198359323035992
0.83	0.8284972039980626
0.84	0.8441131214516899
0.85	0.8475138764895392
0.86	0.8619197482297404
0.87	0.8676020374929977
0.88	0.8789233977172959
0.89	0.8850411498782891
0.9	0.8959853602331519
0.91	0.9068506909569494
0.92	0.9187797207578129
0.93	0.9316586476208649
0.94	0.9410525259619726
0.95	0.9482862297053518
0.96	0.9600311951647494
0.97	0.9681658230899012
0.98	0.9803969022265246
0.99	0.9890907283616213
1.0	0.995278346430694
