feature	importance
recency_x	0.23573160553
visit_freq_61_120d_x	0.0943376486028
frequency_t12m_x	0.0770943097381
tenure_days_x	0.0611845347251
local_orders_t24m_x	0.0452951259695
visit_freq_121_180d_x	0.0435575699665
visit_recency_x	0.0402910400715
open_recency_x	0.0363297131569
select_flag_x	0.0346129782535
visit_freq_29_60d_x	0.0288593065566
visit_freq_7d_x	0.0223419851476
frequency_t24m_x	0.0221252638251
visit_freq_8_14d_x	0.0164344788131
gender_cat_x_M	0.0160036107263
unique_purchase_quarters_t24m_x	0.0153929136276
most_recent_l1_cat_x_L1_Local	0.0140982677305
visit_freq_15_28d_x	0.0136511845903
sends_7d_x	0.0132741757411
is_reactivation_x	0.0121507448606
visit_freq_181_365d_x	0.0115876879961
sends_30d_x	0.0111028620553
email_contactable_x	0.00896859573647
marital_status_cat_x_1M	0.00839052052897
shopping_orders_t24m_x	0.0077113390882
gender_cat_x_U	0.0075163087407
web_orders_t24m_x	0.00711167334601
frequency_9block_cat_x_1_Low_Freq_1_Order_	0.00645966052141
most_recent_l2_cat_x_L2_Things_to_Do_Live	0.0054824237166
gp_t24m_x	0.00442454846644
most_recent_l2_cat_x_L2_Home	0.00357970247344
uniq_3day_clicks_30d_x	0.00348233177788
gp_t12m_x	0.00346917073523
most_recent_l2_cat_x_Other	0.00346213935464
send_recency_x	0.0033531611713
age_x	0.00310265672398
nob_t12m_x	0.00256989895939
appengaged_flag90d_x	0.00229353096818
student_flag_x	0.00214194348016
recency_9block_cat_x_2_Med_Rec_31_120_Days_	0.00212779913411
most_recent_platform_cat_x_other	0.00201788346367
unsubscription_30d_x	0.00177703393578
nob_t24m_x	0.00163793203591
uniq_3day_opens_7d_x	0.0016223481307
click_recency_x	0.00158932704406
total_inv_csi_x	0.0013615414345
most_recent_l2_cat_x_L2_Tech_Toys	0.00128558578485
hbw_inv_csi_x	0.0010936361483
retail_inv_csi_x	0.00108675713377
most_recent_l1_cat_x_L1_Shopping	0.00108561018374
most_recent_promo_type_cat_x_ILS	0.000984587157972
ttd_inv_csi_x	0.000961663550418
uniq_3day_opens_30d_x	0.000943334626486
uniq_3day_clicks_7d_x	0.000657372423589
most_recent_l2_cat_x_L2_Things_to_Do_Leisure	0.000650940531026
hna_inv_csi_x	0.000563583824494
most_recent_l2_cat_x_L2_Home_Auto	0.000534585290041
touch_orders_t24m_x	0.00049306654636
app_orders_t24m_x	0.00020507524925
fnd_inv_csi_x	0.00014407501198
touchengaged_flag90d_x	6.16737656934e-05
most_recent_l2_cat_x_L2_Health_Beauty_Wellness	1.91346077389e-05
travel_orders_t24m_x	0.0
webengaged_flag90d_x	0.0
charity_inv_csi_x	0.0
gplus_flag_x	0.0
mobile_contactable_x	0.0
recency_9block_cat_x_3_Low_Rec_121_365_Days_	0.0
recency_9block_cat_x_1_High_Rec_0_30_Days_	0.0
frequency_9block_cat_x_2_Med_Freq_2_4_Orders_	0.0
frequency_9block_cat_x_3_High_Freq_5_Orders_	0.0
most_recent_l1_cat_x_L1_Travel	0.0
most_recent_l1_cat_x_other	0.0
most_recent_l2_cat_x_L2_Retail	0.0
most_recent_l2_cat_x_L2_Food_Drink	0.0
most_recent_l2_cat_x_L2_Health_Beauty_Grocery	0.0
most_recent_l2_cat_x_L2_Softlines	0.0
most_recent_l2_cat_x_L2_Hotel	0.0
most_recent_l2_cat_x_L2_Tour	0.0
most_recent_l2_cat_x_L2_Hardlines	0.0
most_recent_promo_type_cat_x_NO_DISCOUNT	0.0
most_recent_promo_type_cat_x_OD	0.0
most_recent_promo_type_cat_x_WOW	0.0
most_recent_promo_type_cat_x_Organic	0.0
most_recent_platform_cat_x_app	0.0
most_recent_platform_cat_x_web	0.0
most_recent_platform_cat_x_touch	0.0
gender_cat_x_F	0.0
