days_until_deact	count_users	deacts_actual	deacts_pred	pct_deact_actual	pct_deact_pred	accuracy	avg_prob_deact	pred_over_actual_deacts	diff_pct_deact
	20	20	20	1.0	1.0	1.0	0.948572829463	1.0	0.0
0.0	2983	2983	2983	1.0	1.0	1.0	0.941533290944	1.0	0.0
1.0	3251	3245	3251	0.998154414026	1.0	0.998154414026	0.941917861022	1.00184899846	0.00184558597355
2.0	3350	3340	3350	0.997014925373	1.0	0.997014925373	0.940715750419	1.00299401198	0.00298507462687
3.0	3189	3174	3189	0.995296331138	1.0	0.995296331138	0.941194359413	1.00472589792	0.00470366886171
4.0	3041	3011	3041	0.990134824071	1.0	0.990134824071	0.940281967672	1.00996346729	0.00986517592897
5.0	3587	3549	3587	0.989406189016	1.0	0.989406189016	0.940524629932	1.01070724148	0.0105938109841
6.0	3694	3652	3694	0.988630211153	1.0	0.988630211153	0.940106074116	1.01150054765	0.0113697888468
7.0	3376	3338	3376	0.988744075829	1.0	0.988744075829	0.940242510449	1.01138406231	0.0112559241706
8.0	3197	3134	3197	0.980294025649	1.0	0.980294025649	0.940632555999	1.02010210593	0.019705974351
9.0	3369	3306	3369	0.981300089047	1.0	0.981300089047	0.939471269056	1.01905626134	0.0186999109528
10.0	3262	3203	3262	0.981912936849	1.0	0.981912936849	0.93962464472	1.01842023103	0.0180870631514
11.0	3473	3406	3473	0.980708321336	1.0	0.980708321336	0.937740445119	1.01967116853	0.019291678664
12.0	3528	3457	3528	0.979875283447	1.0	0.979875283447	0.938125579886	1.02053803876	0.0201247165533
13.0	3377	3306	3377	0.978975421972	1.0	0.978975421972	0.938329864756	1.02147610405	0.0210245780278
14.0	3007	2932	3007	0.975058197539	1.0	0.975058197539	0.938350399488	1.025579809	0.0249418024609
15.0	3190	3119	3190	0.977742946708	1.0	0.977742946708	0.937865561537	1.02276370632	0.0222570532915
16.0	2817	2758	2817	0.979055733049	1.0	0.979055733049	0.937885420402	1.02139231327	0.0209442669507
17.0	4776	4525	4776	0.947445561139	1.0	0.947445561139	0.929964111867	1.05546961326	0.052554438861
18.0	5072	4826	5072	0.951498422713	1.0	0.951498422713	0.933600094262	1.05097389142	0.0485015772871
19.0	5408	5140	5408	0.950443786982	1.0	0.950443786982	0.935399396619	1.05214007782	0.0495562130178
20.0	4853	4632	4853	0.954461158047	1.0	0.954461158047	0.930849818291	1.04771157168	0.0455388419534
21.0	4772	4539	4772	0.951173512154	1.0	0.951173512154	0.914489028771	1.05133289271	0.0488264878458
22.0	4746	4492	4746	0.946481247366	1.0	0.946481247366	0.913710889509	1.05654496883	0.0535187526338
23.0	4448	4198	4448	0.943794964029	1.0	0.943794964029	0.913261584785	1.0595521677	0.0562050359712
24.0	3854	3630	3854	0.941878567722	1.0	0.941878567722	0.913281607575	1.06170798898	0.0581214322782
25.0	4603	4350	4603	0.945035846187	1.0	0.945035846187	0.911445753227	1.05816091954	0.0549641538127
26.0	5060	4796	5060	0.947826086957	1.0	0.947826086957	0.911803497225	1.05504587156	0.0521739130435
27.0	5065	4782	5065	0.944126357354	1.0	0.944126357354	0.912818159071	1.05918025931	0.0558736426456
28.0	4273	4038	4273	0.945003510414	1.0	0.945003510414	0.913811249074	1.05819712729	0.0549964895858
29.0	4570	4310	4570	0.943107221007	1.0	0.943107221007	0.91255591756	1.06032482599	0.0568927789934
30.0	4289	3995	4289	0.931452553043	1.0	0.931452553043	0.912319464797	1.07359198999	0.0685474469573
31.0	3972	3701	3972	0.931772406848	1.0	0.931772406848	0.911070541798	1.07322345312	0.0682275931521
32.0	3694	3408	3694	0.922577152139	1.0	0.922577152139	0.910943524309	1.08392018779	0.0774228478614
33.0	4034	3774	4034	0.935547843332	1.0	0.935547843332	0.911651936227	1.06889242183	0.0644521566683
34.0	4463	4139	4463	0.927403092091	1.0	0.927403092091	0.911694577096	1.07827977772	0.0725969079095
35.0	4299	3956	4299	0.920214003257	1.0	0.920214003257	0.91024150805	1.08670374115	0.0797859967434
36.0	4444	4053	4444	0.91201620162	1.0	0.91201620162	0.90919026434	1.09647174932	0.0879837983798
37.0	4404	4038	4404	0.91689373297	1.0	0.91689373297	0.906739451751	1.09063893016	0.08310626703
38.0	4367	4024	4367	0.921456377376	1.0	0.921456377376	0.887245038244	1.08523856859	0.0785436226242
39.0	4416	4039	4415	0.914628623188	0.999773550725	0.914402173913	0.873518179038	1.09309234959	0.0851449275362
40.0	7839	6978	7838	0.890164561806	0.999872432708	0.890292129098	0.871999255944	1.12324448266	0.109707870902
41.0	8217	7378	8216	0.897894608738	0.999878301083	0.898016307655	0.871063426053	1.11358091624	0.101983692345
42.0	6707	5945	6707	0.886387356493	1.0	0.886387356493	0.870937991954	1.12817493692	0.113612643507
43.0	8716	7633	8716	0.875745754933	1.0	0.875745754933	0.870216564752	1.14188392506	0.124254245067
44.0	11193	9831	11193	0.878316805146	1.0	0.878316805146	0.869735559517	1.13854134879	0.121683194854
45.0	5925	5208	5924	0.878987341772	0.999831223629	0.879156118143	0.869008539845	1.13748079877	0.120843881857
46.0	5324	4627	5324	0.869083395943	1.0	0.869083395943	0.866836461921	1.15063756214	0.130916604057
47.0	5848	5120	5848	0.875512995896	1.0	0.875512995896	0.86862321499	1.1421875	0.124487004104
48.0	5744	5014	5744	0.87291086351	1.0	0.87291086351	0.869012363896	1.14559234144	0.12708913649
49.0	5381	4658	5381	0.865638357183	1.0	0.865638357183	0.865670845369	1.15521683126	0.134361642817
50.0	5235	4441	5227	0.848328557784	0.99847182426	0.847946513849	0.832658889395	1.17698716505	0.150143266476
51.0	5299	4551	5291	0.85884129081	0.998490281185	0.858463861106	0.833413973242	1.16260162602	0.139648990376
52.0	5911	5033	5898	0.851463373372	0.99780071054	0.851294197259	0.831401252703	1.17186568647	0.146337337168
53.0	5881	5031	5872	0.855466757354	0.998469648019	0.855296718245	0.83248874726	1.16716358577	0.143002890665
54.0	6180	5275	6168	0.85355987055	0.998058252427	0.854207119741	0.830757194811	1.16928909953	0.144498381877
55.0	6109	5185	6099	0.848747749222	0.998363070879	0.848092977574	0.835724420899	1.1762777242	0.149615321657
56.0	6285	5293	6273	0.842163882259	0.998090692124	0.842163882259	0.831494067783	1.18515019838	0.155926809865
57.0	5920	4945	5913	0.835304054054	0.998817567568	0.834797297297	0.831789873565	1.19575328615	0.163513513514
58.0	5896	4948	5890	0.83921302578	0.998982360923	0.840230664858	0.83698949021	1.1903799515	0.159769335142
59.0	5566	4597	5549	0.825907294287	0.996945742005	0.826086956522	0.833743233048	1.20709158147	0.171038447718
60.0	5400	4500	5388	0.833333333333	0.997777777778	0.834074074074	0.829316325106	1.19733333333	0.164444444444
61.0	6178	5211	6160	0.843476853351	0.99708643574	0.843153123988	0.833231209735	1.18211475724	0.153609582389
62.0	5912	4966	5907	0.8399864682	0.999154262517	0.840832205683	0.831811747614	1.18948852195	0.159167794317
63.0	5489	4603	5474	0.838586263436	0.997267261796	0.838768445983	0.82620817149	1.18922441886	0.15868099836
64.0	6461	5431	6442	0.840581953258	0.997059278749	0.839808079245	0.825982774712	1.18615356288	0.156477325491
65.0	6126	5125	6112	0.836598106432	0.997714658831	0.837251061051	0.827121532314	1.19258536585	0.1611165524
66.0	5367	4486	5351	0.835848705049	0.997018818707	0.835476057388	0.828308476994	1.19282211324	0.161170113658
67.0	5300	4398	5281	0.829811320755	0.99641509434	0.831886792453	0.82350459726	1.20077307867	0.166603773585
68.0	5170	4285	5152	0.828820116054	0.996518375242	0.82920696325	0.825697974932	1.20233372229	0.167698259188
69.0	5664	4711	5646	0.831744350282	0.996822033898	0.831391242938	0.821898258545	1.19847166207	0.165077683616
70.0	5274	4308	5251	0.816837315131	0.995638983694	0.817406143345	0.82370965336	1.21889507892	0.178801668563
