class	N	precision	recall	f1	predOverActualN
0	1015928	0.706605915903	0.619612807207	0.660256211909	0.876885960422
1	1422179	0.750237517563	0.816217930373	0.781838148899	1.08794603211
weighted	2438107	0.732056787263	0.734295090412	0.731176510963	1.0
