class	N	precision	recall	f1	predOverActualN
0	79353	0.527967866706	0.0447242070243	0.0824629683416	0.0847100928761
1	490223	0.865322090631	0.993527435473	0.925003584733	1.1481591031
weighted	569576	0.818322094614	0.861340716603	0.807621311722	1.0
