cutoff	tp	fp	tpr	fpr	precision
0.0	490223	79353	1.0	1.0	0.860680576429
0.22	490223	79352	1.0	0.999987398082	0.860682087521
0.25	490223	79351	1.0	0.999974796164	0.860683598619
0.26	490220	79348	0.999993880336	0.99993699041	0.860687398168
0.27	490216	79348	0.999985720784	0.99993699041	0.860686419788
0.28	490211	79341	0.999975521344	0.999848776984	0.860695774925
0.29	490204	79318	0.999961242129	0.99955893287	0.860728821714
0.3	490197	79273	0.999946962913	0.998991846559	0.860795125292
0.31	490167	79236	0.999885766274	0.998525575593	0.860843725797
0.32	490123	79185	0.999796011203	0.997882877774	0.860910087334
0.33	490075	79134	0.999698096581	0.997240179955	0.860975494063
0.34	489998	79047	0.999541025207	0.996143813088	0.861088314632
0.35	489914	78957	0.999369674617	0.995009640467	0.861204033955
0.36	489838	78832	0.999214643132	0.993434400716	0.861374786783
0.37	489735	78696	0.999004534671	0.991720539866	0.861555756108
0.38	489623	78545	0.998776067218	0.989817650246	0.861757437941
0.39	489498	78379	0.998521081222	0.987725731856	0.861978914448
0.4	489364	78209	0.998247736234	0.985583405794	0.862204509376
0.41	489218	78021	0.997949912591	0.983214245208	0.862454803002
0.42	489053	77833	0.997613331076	0.980845084622	0.86270078993
0.43	488883	77634	0.997266550121	0.978337302938	0.862962629542
0.44	488701	77443	0.996895290511	0.975930336597	0.86320971343
0.45	488483	77219	0.996450594933	0.973107506963	0.863498803257
0.46	488261	76968	0.995997739804	0.969944425542	0.863828642904
0.47	487994	76725	0.995453089716	0.966882159465	0.864135968508
0.48	487726	76435	0.994906399741	0.963227603241	0.864515625859
0.49	487416	76142	0.99427403447	0.959535241264	0.86489057027
0.5	487050	75804	0.993527435473	0.955275792976	0.865322090631
0.51	486609	75387	0.992627844879	0.950020793165	0.865858475861
0.52	486144	74892	0.991679296973	0.943782843749	0.86651123992
0.53	485573	74434	0.990514520943	0.938011165299	0.86708380431
0.54	484917	73894	0.989176354435	0.931206129573	0.867765666746
0.55	484194	73284	0.987701515433	0.923518959586	0.86854369141
0.56	483411	72613	0.986104283153	0.9150630726	0.869406716257
0.57	482425	71930	0.984092953615	0.906455962598	0.870245600743
0.58	481347	71142	0.981893954384	0.896525651204	0.871233635421
0.59	480115	70268	0.979380812406	0.885511574862	0.872328905508
0.6	478704	69307	0.976502530481	0.873401131652	0.873529910896
0.61	477175	68260	0.973383541776	0.860206923494	0.874852182203
0.62	475509	67125	0.969985088419	0.84590374655	0.876297836111
0.63	473715	65956	0.966325529402	0.831172104394	0.877784798516
0.64	471669	64708	0.962151918617	0.815444910715	0.879360971854
0.65	469535	63450	0.95779879769	0.799591697856	0.880953497753
0.66	467094	62120	0.952819431157	0.782831146901	0.882618373664
0.67	464545	60761	0.947619756723	0.765705140322	0.88433217972
0.68	461737	59355	0.941891751305	0.747986843598	0.886094969794
0.69	458555	57787	0.935400827787	0.728227036155	0.888083866894
0.7	455024	56254	0.928197983367	0.708908295843	0.889973752049
0.71	450908	54476	0.919801804485	0.686502085617	0.892208696753
0.72	446548	52657	0.910907892939	0.663579196754	0.894518284072
0.73	441701	50757	0.901020555951	0.639635552531	0.896931311909
0.74	436476	48718	0.890362141311	0.613940241705	0.899590679192
0.75	430776	46633	0.878734779886	0.58766524265	0.902320651684
0.76	424427	44571	0.865783531168	0.561680087709	0.904965479597
0.77	417421	42363	0.851492076055	0.533855052739	0.90786325753
0.78	409775	40115	0.835895092642	0.505525941048	0.910833759363
0.79	401651	37823	0.819323042778	0.476642344965	0.913935750465
0.8	392240	35356	0.800125657099	0.445553413229	0.91731447441
0.81	382170	32797	0.779583985248	0.413305105037	0.920964799611
0.82	370262	30163	0.755292999308	0.380111652994	0.924672535431
0.83	358291	27703	0.730873500427	0.349110934684	0.928229454344
0.84	347320	25541	0.708493889516	0.321865587942	0.931499942338
0.85	335784	23308	0.684961741901	0.293725505022	0.935091842759
0.86	319780	20647	0.65231537484	0.260191801192	0.939349699054
0.87	300477	17700	0.612939417367	0.223053948811	0.944370586183
0.88	279517	14920	0.57018336553	0.188020616738	0.949327020721
0.89	254989	12009	0.520148993417	0.151336433405	0.955022134997
0.9	226534	9345	0.462103981249	0.117764923821	0.960382229872
0.91	196911	7045	0.401676379933	0.088780512394	0.96545823609
0.92	165460	4653	0.337519863409	0.0586367245095	0.97264759307
0.93	119218	2362	0.24319136393	0.0297657303442	0.980572462576
0.94	75369	932	0.153744316362	0.0117449875871	0.987785219067
0.95	32667	169	0.0666370202948	0.00212972414401	0.994853209892
0.96	0	0	0.0	0.0	1.0
