days_until_deact	count_users	deacts_actual	deacts_pred	avg_log_loss	avg_prob_deact	accuracy	pct_deact_actual	pct_deact_pred	pred_over_actual_deacts	diff_pct_deact
	28	28	22	0.198699756472	0.820655654451	1.0	1.0	0.785714285714	0.785714285714	-0.214285714286
-81.0	1	1	0	0.441598446278	0.643007785791	1.0	1.0	0.0	0.0	-1.0
-8.0	1	1	0	0.167576067175	0.845712283897	1.0	1.0	0.0	0.0	-1.0
0.0	6276	6276	5035	0.223117987509	0.802339666801	0.999681325685	1.0	0.802262587635	0.802262587635	-0.197737412365
1.0	6349	6340	5120	0.219357596118	0.806462421547	0.998267443692	0.99858245393	0.806426208852	0.807570977918	-0.192156245078
2.0	5529	5499	4451	0.225853188956	0.80509135669	0.994393199494	0.994574064026	0.805028034003	0.809419894526	-0.189546030024
3.0	5693	5659	4587	0.225877466726	0.805749539933	0.993676444757	0.994027753381	0.805726330581	0.810567238028	-0.1883014228
4.0	5492	5433	4423	0.23098066873	0.805391071106	0.988892935178	0.989257101238	0.805353241078	0.81409902448	-0.18390386016
5.0	4927	4882	3955	0.234203827177	0.802727663339	0.990257763345	0.990866653136	0.802719707733	0.810118803769	-0.188146945403
6.0	4638	4582	3714	0.239309234914	0.800839333415	0.987278999569	0.987925830099	0.800776196636	0.810563072894	-0.187149633463
7.0	5010	4920	4014	0.24630431168	0.801226299586	0.981636726547	0.982035928144	0.80119760479	0.815853658537	-0.180838323353
8.0	5719	5629	4590	0.243020506296	0.80264581946	0.983738415807	0.984262983039	0.802587865011	0.815420145674	-0.181675118028
9.0	5346	5234	4277	0.250289297138	0.800156906437	0.97923681257	0.979049756828	0.800037411149	0.817157050057	-0.179012345679
10.0	5449	5333	4359	0.251187928762	0.800065755434	0.978161130483	0.978711690218	0.799963296018	0.817363585224	-0.178748394201
11.0	5259	5143	4208	0.25250157119	0.800213643165	0.977752424415	0.977942574634	0.800152120175	0.818199494458	-0.177790454459
12.0	5607	5450	4500	0.258122910343	0.802629891068	0.970929195648	0.971999286606	0.802568218299	0.825688073394	-0.169431068307
13.0	5443	5242	4338	0.272800677891	0.797033300386	0.962704390961	0.963071835385	0.796986955723	0.827546737886	-0.166084879662
14.0	9273	8847	7361	0.287165011062	0.79383116488	0.953520974873	0.954060174701	0.793809985981	0.832033457669	-0.16025018872
15.0	10024	9585	7950	0.28539580348	0.79319193379	0.954808459697	0.956205107741	0.793096568236	0.829420970266	-0.163108539505
16.0	7956	7570	6312	0.291176552909	0.793406589452	0.950351935646	0.951483157366	0.793363499246	0.833817701453	-0.15811965812
17.0	10138	9501	8018	0.311679544088	0.790934882927	0.936082067469	0.937167094101	0.790885776287	0.843911167246	-0.146281317814
18.0	13235	12441	10474	0.305785836832	0.791415521489	0.938949754439	0.940007555723	0.791386475255	0.841893738445	-0.148621080468
19.0	7273	6841	5782	0.303450481402	0.795047199042	0.940052248041	0.940602227416	0.79499518768	0.845198070458	-0.145607039736
20.0	6272	5893	4985	0.304111477804	0.794817776007	0.938297193878	0.939572704082	0.794802295918	0.845918886815	-0.144770408163
21.0	6952	6530	5524	0.301871460911	0.794625201076	0.938866513234	0.939298043728	0.794591484465	0.845941807044	-0.144706559264
22.0	7244	6796	5762	0.302138204766	0.795540823141	0.937741579238	0.938155715075	0.795416896742	0.847851677457	-0.142738818332
23.0	6448	6005	5115	0.313830358609	0.793278419582	0.931606699752	0.931296526055	0.793269230769	0.851790174854	-0.138027295285
24.0	6156	5695	4881	0.32126110866	0.792984171101	0.924463937622	0.925113710201	0.792884990253	0.857067603161	-0.132228719948
25.0	6558	6060	5201	0.322363224633	0.793174128471	0.922384873437	0.92406221409	0.79307715767	0.858250825083	-0.13098505642
26.0	6914	6376	5482	0.325632612818	0.793016819989	0.92204223315	0.922186867226	0.792884003471	0.859786700125	-0.129302863755
27.0	7265	6669	5742	0.332385283925	0.790496209842	0.917274604267	0.917962835513	0.79036476256	0.860998650472	-0.127598072953
28.0	7379	6789	5847	0.326827026495	0.79246102182	0.918959208565	0.92004336631	0.792383791842	0.861246133451	-0.127659574468
29.0	7638	7029	6069	0.32395337261	0.794633205102	0.920528934276	0.920267085625	0.794579732914	0.863422962015	-0.12568735271
30.0	7418	6725	5879	0.340335295907	0.792594343924	0.90509571313	0.906578592613	0.792531679698	0.874200743494	-0.114046912915
31.0	7220	6546	5717	0.342814032873	0.791921935062	0.905540166205	0.906648199446	0.791828254848	0.873357775741	-0.114819944598
32.0	7164	6519	5682	0.338037751391	0.793189082496	0.909547738693	0.909966499162	0.793132328308	0.871606074551	-0.116834170854
33.0	6781	6088	5367	0.354291922397	0.791503336604	0.897065329597	0.89780268397	0.791476183454	0.881570302234	-0.106326500516
34.0	6849	6196	5415	0.345850199347	0.7907086243	0.903927580669	0.90465761425	0.790626368813	0.873950936088	-0.114031245437
35.0	7775	7016	6160	0.347340693177	0.792343829121	0.901736334405	0.902379421222	0.792282958199	0.877993158495	-0.110096463023
36.0	7482	6754	5936	0.348914317892	0.793411814928	0.902699812884	0.902699812884	0.793370756482	0.878886585727	-0.109329056402
37.0	6680	6005	5309	0.351234530918	0.794764081839	0.898053892216	0.898952095808	0.794760479042	0.884096586178	-0.104191616766
38.0	7936	7145	6291	0.350629888436	0.792778557092	0.900579637097	0.900327620968	0.792716733871	0.880475857243	-0.107610887097
39.0	7481	6765	5933	0.342465782378	0.793188724306	0.904157198236	0.904290870205	0.793075792006	0.877014042868	-0.111215078198
40.0	6823	6108	5419	0.353505651026	0.794322862792	0.894621134398	0.89520738678	0.794225414041	0.887197118533	-0.100981972739
41.0	6725	6038	5328	0.353433158054	0.792381784829	0.897249070632	0.897843866171	0.792267657993	0.882411394501	-0.105576208178
42.0	6666	5962	5279	0.355476175756	0.791983961685	0.893639363936	0.894389438944	0.791929192919	0.885441127139	-0.102460246025
