prob_bucket	pct_deactivated
0.18	0.0124969959144
0.19	0.0314195025915
0.2	0.0543270286377
0.21	0.0817272217467
0.22	0.108068672193
0.23	0.132208471549
0.24	0.155421806936
0.25	0.17662893429
0.26	0.199342786727
0.27	0.212274550909
0.28	0.229832023646
0.29	0.244336390761
0.3	0.260483658656
0.31	0.276656836877
0.32	0.29112593491
0.33	0.311155513987
0.34	0.320513399919
0.35	0.334951927746
0.36	0.349811262216
0.37	0.353445905066
0.38	0.36303459391
0.39	0.368863622905
0.4	0.370867273598
0.41	0.379148861441
0.42	0.384299640841
0.43	0.397867377541
0.44	0.39667572319
0.45	0.403344584228
0.46	0.417981687123
0.47	0.425476976044
0.48	0.432052270974
0.49	0.442188760419
0.5	0.454836892952
0.51	0.460371280834
0.52	0.474761198946
0.53	0.478437949209
0.54	0.498825794033
0.55	0.503454003246
0.56	0.512913931174
0.57	0.530881284385
0.58	0.547811504276
0.59	0.553677342823
0.6	0.572294062083
0.61	0.583867042398
0.62	0.594023941936
0.63	0.611111111111
0.64	0.61223169656
0.65	0.625038902249
0.66	0.632130726645
0.67	0.641029605009
0.68	0.646726067639
0.69	0.65356881365
0.7	0.663206148038
0.71	0.678480760615
0.72	0.696934051185
0.73	0.718202504432
0.74	0.738792429841
0.75	0.762251008907
0.76	0.781457873
0.77	0.797284482278
0.78	0.804005511786
0.79	0.826679192109
0.8	0.847374136995
0.81	0.855829948116
0.82	0.869594535423
0.83	0.903478666453
0.84	0.910908604215
0.85	0.94644744614
0.86	0.981620405101
