class	N	precision	recall	f1	predOverActualN
0	1084485	0.734771404865	0.509551538288	0.601779307694	0.693483081831
1	1896471	0.761367572292	0.894819904971	0.822717075258	1.17527976964
weighted	2980956	0.751691768747	0.75465756623	0.742338936548	1.0
